Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
Oceania,Australia,Queensland,2020-10-01,0.8210900575115481,0.19862388664211478,100.0,15.0,0.02,0.01,5.0,1.435094686738443,0.009967835457730723,4.999939907260336,-94.65675488856306,49.13240495656606,0.20156695799435956
Oceania,Australia,Tasmania,2020-10-01,0.4564411659209557,0.49576108189679463,64.2020430188078,15.0,0.3173471048675771,0.01,4.98614373945076,0.001,0.001,1.13356911720581,-145.5639543607724,13.038717566969302,0.2
Oceania,Australia,Victoria,2020-10-01,0.2501128416838456,1.5,-199.99967100159594,14.99973650408141,0.08375799687947774,0.01,5.0,0.06957339087357238,0.001,5.0,80.74728676824671,3.634265026024983,0.2
North America,Canada,Alberta,2020-10-01,1.7586488948838208,0.1795052661940162,-60.691463014573856,7.678945707933188,0.02,0.019270069386596814,-0.03929611505881385,4.9586839656640365,0.027005800339987836,2.897932815472733,38.144308298045296,35.61697054498735,0.3897266287530676
North America,Canada,Manitoba,2020-10-01,1.0136010802895394,0.5297417788815435,-70.11267572244773,1.0000003349237707,0.0847299299168588,0.025492637319149213,-0.2,0.4706920988078006,0.7706207400921701,2.6674178267999507,-132.80820597601667,86.9320013225144,0.3630858004619354
North America,Canada,Ontario,2020-10-01,0.37207170011653945,0.21151639962353302,98.66234051133782,12.835169036070468,0.49953361047444084,0.010002089523021581,-0.2,0.6995027766821436,0.5492216219353281,1.256572186251634,89.20954945731012,2.478944731600015,0.7936156132275475
North America,Canada,Quebec,2020-10-01,0.5120139570531546,1.037300040760725,-65.3769870168287,9.871561640451896,0.0332902044064407,0.03280086847387768,0.07917771048295602,4.17932347397207,0.00903413993866284,0.4478170616739784,96.09268024777658,99.32867457011405,0.34056810430748874
North America,Canada,Saskatchewan,2020-10-01,2.7726423082994067,1.476553705554272,18.174537174428664,1.104279460860827,0.05312627110330799,0.011206586645843265,-0.2,0.005320173803929516,0.0031279013974839153,4.472367986122847,-20.93019236021747,9.757163809791297,0.203314756638321
North America,US,Alabama,2020-10-01,0.7153104546243954,0.49408618753427586,-46.69318346241473,6.335329016727074,0.5,0.014731113652117283,0.15042473741996076,4.9998966294737075,0.09622008961194331,1.192169404646293,56.57522425030938,48.79203607082711,0.20708701995315446
North America,US,Alaska,2020-10-01,3.8758286959190302,1.5,8.936209183055253,1.0,0.037245765308431315,0.010287667690385497,0.4042579706212889,0.02090656997186775,0.0025058761591136877,1.2821708940403163,88.00117220095797,1.1128908039780538,0.8956061174956974
North America,US,Arizona,2020-10-01,1.0346070354156298,0.41737136007969855,-3.8773012665910733,1.0,0.04273787829043153,0.014502446142130447,-0.10740320137322794,1.3521191358317575,1.7394571766158151,1.3229359322145653,94.73063528636104,100.0,0.21166715106992326
North America,US,Arkansas,2020-10-01,0.5848426697297398,0.12042587042861724,-109.93214360538485,11.216844437002786,0.17726312433950228,0.015122511824267605,-0.043512865129644036,0.6212086951165355,0.06877724657709525,4.829636463349783,80.52704871004458,98.18870193062824,1.2376895068779425
North America,US,California,2020-10-01,2.3092057741768097,0.4078082232734201,76.58099420184952,1.8370204365161855,0.02,0.19859258828570536,2.4201128872175834,0.21065170587633308,0.06724127728486456,0.7544392317946239,92.22496742288513,10.189464253057855,0.20000001032980005
North America,US,Colorado,2020-10-01,0.6700128153501518,0.361592395122153,61.60460282110809,1.0,0.05379792149733166,0.010730771598592375,-0.2,1.4029232886038627,1.0290619569539574,1.744996969132246,91.42743062960926,6.386063995242464,0.2386456126164354
North America,US,Connecticut,2020-10-01,0.6342544648830137,0.32666464132389256,24.25208870445815,1.021674413653696,0.020119696884742955,0.029943944781295164,0.07542171059363306,1.7940674660089728,0.7518366649115736,1.1458839111667278,82.34799095134304,91.08348197555291,0.22737235066766157
North America,US,Delaware,2020-10-01,0.5263922280140148,0.49403398477919014,-49.190651250247804,6.82112950343472,0.038516551698554904,0.018608809911184864,0.3488264608106086,0.001,0.12850631485222447,1.254242006434867,7.8105786748734625,94.58120248334374,2.0
North America,US,Florida,2020-10-01,3.6385468443286197,1.5,-55.15633731354097,1.0,0.030435903771268667,0.25,4.208241499198271,0.007380697822627527,0.017709332115538597,0.992297609688103,-169.7099461180522,100.0,0.4797466497748096
North America,US,Georgia,2020-10-01,0.4719986449083349,0.12526239804655956,15.90775043154289,3.0103316846515176,0.035456954498469584,0.12288727155840153,3.1611849670810295,3.9197110824707697,0.0010850650290278444,4.760739915898026,100.99997078739028,94.77380962860327,0.21995538679978888
North America,US,Hawaii,2020-10-01,4.434403279232464,1.5,-71.74850508561775,1.0,0.08657675700326822,0.21857759769207988,4.538397629886432,0.001,0.1536893311670406,0.60356986109687,-152.42757817415463,100.0,0.2
North America,US,Idaho,2020-10-01,0.6704529704061627,0.1244365217314402,-30.261313585149587,2.935201121960289,0.10792274313821587,0.01,-0.05667948715204883,3.5042685167353866,1.5804169871614917,4.250135658233018,38.38188614902337,56.85659679791919,0.2
North America,US,Illinois,2020-10-01,0.5187272104275426,0.2630012361348724,39.68211750855279,9.417071886184605,0.03328270929529742,0.02038513533252557,0.032943902911951047,0.12029218886875911,1.7252115625136522,1.748396689756076,77.44028155771096,37.266012298735816,0.3394064449437803
