Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
North America,US,New Hampshire,2020-03-23,0.986035998,0.716971896,-5.503384368,0.449100162,0.048473161,0.190040521,0.962841616,1.593770691,0.49633382,0.520478362,191.0629244,54.78010541
North America,US,New Jersey,2020-03-16,1.133988496,0.949257736,0.469932607,1.692192336,0.055054974,0.313423276,1.717035562,71.23681522,0.02340868,0.489407055,207.9170211,92.51572063
North America,US,New Mexico,2020-03-24,7.540365373,0.382588097,-0.057148244,0,0.182777914,0.162710414,1.521978015,7.151319465,0.371288189,0,32.4803198,7.579170391
North America,US,New York,2020-03-08,1.105851578,8.861555597,2.489894715,15.28154695,0.102245028,0.597616604,3.494366843,4.267419968,4.72E-06,0.047969727,185.9297244,75.13126534
North America,US,North Carolina,2020-03-19,2.480993811,0.378134876,-66.02567667,0,0.022914202,0.160814991,1.961450698,24.1163584,3.397366167,0.333634521,64.17090966,10.79089085
North America,US,North Dakota,2020-03-30,1.115806426,0.405283874,-31.01759955,0.003508,1,0.019666286,0.400733944,0.656545393,1.305796093,1.218525088,302.2816963,76.75932715
North America,US,Ohio,2020-03-19,3.892867244,0.386370391,-0.663413672,0,1,0.451691853,4.041756362,26.0820254,0.754964168,0,98.70425448,1
North America,US,Oklahoma,2020-03-24,1.0854899,0.438863729,-8.281151032,0.014209656,0.02,0.919838959,24.69856741,0.020766503,5.58264934,0.434502142,197.1773663,1.998510425
North America,US,Oregon,2020-03-20,1.788290372,0.365191259,-0.646913511,0,0.068297494,0.099856157,1.777524204,1.212849956,3.761598316,0.735982378,76.71129805,6.519138536
North America,US,Pennsylvania,2020-03-17,1.539821196,1.110181598,-2.042304396,1.810496893,0.05993507,0.344858707,2.013025182,32.36689029,0.000148808,0.346209909,193.2038424,106.296345
North America,US,Rhode Island,2020-03-23,1.424968653,2.13568539,2.325058728,3.401017645,0.06023114,0.186202277,1.307881717,1.786716788,0.000289864,0.218056837,198.1295833,86.3606642
North America,US,South Carolina,2020-03-20,0.998486943,0.369219599,0.188152374,0,0.058387599,0.047918806,0.247535765,11.32336446,2.199263592,1.323039417,78.02491779,6.006648252
North America,US,South Dakota,2020-03-30,1.722869533,0.346756968,2.16460829,0,0.064273785,0.021518274,0.498190385,8.392342374,0.000781315,0.608085935,189.9146699,46.87799784
North America,US,Tennessee,2020-03-19,2.276179462,0.397834413,-0.207048389,0,0.02,0.033928343,0.276227895,9.953103611,3.159078807,0.313429924,80.3306524,7.625356087
North America,US,Texas,2020-03-17,1.648131556,0.362075412,1.292852824,0,0.081876592,0.029253165,0.110006976,76.12838993,2.86263515,1.15329077,87.54057913,7.646859544
North America,US,Utah,2020-03-20,6.577447407,0.412688107,0.431912912,0,1,0.006073392,0,0.613896695,5.148446638,0,29.5466042,1
North America,US,Vermont,2020-03-24,3.777759817,0.325565532,-140.3367949,3.20E-08,0.104249318,0.181491653,11.38753699,3.44E-08,1.934623611,5.694546865,193.6708304,1.717230784
North America,US,Virginia,2020-03-20,0.871696649,2.289602395,-24.90203526,1.412232885,0.949338308,0.05032353,0.491134784,12.21059193,1.052629998,0.125381485,178.7369196,90.38318846
North America,US,Washington,2020-03-07,1.459071104,0.355155442,0.710092273,0,0.488580926,0.168531136,2.255445018,192.3672311,227.2698408,4.111345601,104.4943742,1
North America,US,West Virginia,2020-03-29,2.577153246,0.400177978,-142.2820216,0,0.120737713,0.033130919,0.146997318,1.73E-07,1.341431641,0.878382843,91.59003175,1.000964367
North America,US,Wisconsin,2020-03-18,5.211016525,0.435824474,-0.315127662,0,0.02,1,18.53126476,4.33E-07,3.442662424,0,98.33808281,17.04911893
North America,US,Wyoming,2020-03-31,5.728619696,0.449065893,-277.228018,0,0.02,0.132353075,5.404157534,0,0.114582158,0,2.466361156,2.613909981
Africa,Uganda,None,2020-05-07,4.386881725,0.202734496,14.13797736,2.211453719,1,0.009272066,0,0.070906017,0.492038427,2.467099991,92.99030502,56.75160063
Europe,Ukraine,None,2020-03-25,0.594801224,0.361235875,-0.002804893,7.90E-05,0.999033201,0.030937373,0.167949337,26.09405494,0.428751799,0.224752687,215.8298627,98.49734459
Asia,United Arab Emirates,None,2020-03-18,7.0511213,0.776655323,-2.927509651,0.54968585,0.051476172,0.005138088,0,11.38755344,1.228576315,0.473044546,184.4938155,60.25862041
Europe,United Kingdom,None,2020-03-05,4.732699363,2.572699592,1.122447173,2.901550133,0.041850411,0.703063048,1.933109088,8.997472904,1.01055395,0.208160195,193.6423414,54.91768789
South America,Uruguay,None,2020-03-21,1.901295026,0.361067281,-5.358717449,0,0.020003494,0.092397898,1.067903387,5.93E-06,0.58028048,0.454889499,198.7529956,10.1278309
Asia,Uzbekistan,None,2020-03-28,0.661157277,0.466842889,-36.52568211,0.052484775,0.084080748,0.007130238,0.275403674,2.82E-08,2.513055729,1.835058955,89.43474069,3.26872358
South America,Venezuela,None,2020-03-26,27.04877399,1.299320084,-160.4091077,0.125568664,0.540433909,0.008546895,0,0.011351771,0.123523428,0.27848389,99.78623085,1.228504084
Asia,Vietnam,None,2020-03-22,2.824848404,0.536575853,-343.0579179,0.125656819,0.105835546,0.030837008,0,0.913529501,0.061057161,4.616056264,112.7173029,8.217399736
Asia,Yemen,None,2020-05-15,0.389535336,0.62551737,-13.25622465,0.37025784,0.304275489,0.303865663,0.01769219,5.563889393,2.697237022,1.450553823,97.45180652,1.487328757
Africa,Zambia,None,2020-04-30,6.334444429,1.585247492,0.747684258,0.596480392,0.999289185,0.100135058,0.836608268,1.05E-06,0,1.748672668,45.56017526,8.493493932
Africa,Zimbabwe,None,2020-05-27,1.289277884,1.221283532,-10.11363224,0.611559388,0.150040817,0.034463773,0.10021161,0.175427974,0,0.460471206,44.42528903,3.755655726
