Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Europe,Hungary,None,2020-03-21,7.136564595,5.565276063,-15.98987403,4.758766208,0.059548545,0.253367637,0.967064434,4.075348247,1.23E-07,0.100127373,164.3711704,43.66168081
Europe,Iceland,None,2020-03-12,9.558783879,52.82696464,-1.217692628,245.7199937,0.025508663,0.004724041,0,2.475650122,1.299772702,0.016903984,163.0491706,37.04107294
Asia,India,None,2020-03-14,1.372421705,0.686704476,0.175343442,0.113830607,1,1,15.0647956,9.098338532,0.446303119,0.183883441,158.5314609,5.184045494
Asia,Indonesia,None,2020-03-15,1.058399038,0.468209802,-102.514684,0.021680584,0.382886974,0.114882287,0.351273848,14.99425949,1.639704967,0.193405225,100.1569833,3.221671859
Asia,Iran,None,2020-02-26,8.035968117,0.362205761,0.831876345,4.94E-05,0.111692007,0.060403114,0,234.4372611,271.04547,0.551868456,97.87624538,1.594552637
Asia,Iraq,None,2020-03-13,2.35035646,0.508734405,-21.83613552,0.04654683,1,0.741738769,4.285082958,0.812453715,0.665092074,2.19344724,70.8411866,4.541337369
Europe,Ireland,None,2020-03-14,5.347298207,0.492735304,22.41091258,4.634650163,0.052156173,0.235853331,1.802620462,4.226065854,0.966033668,1.091673123,174.4064709,67.70460473
Asia,Israel,None,2020-03-12,2.491597807,3.392618737,-0.545645982,4.577540105,0.024853496,0.083127921,4.571264766,0.893735316,0.311692065,0.131884075,148.0626329,60.12880362
Europe,Italy,None,2020-02-23,2.823851417,3.436712275,0.699455036,6.440886445,0.053265484,1,3.193622908,21.93372021,1.095283567,0.492037657,496.2677654,190.6798998
Africa,Jamaica,None,2020-04-15,7.095738885,0.275853703,0.257907684,0.017961365,1,0.019027793,0,0.248070043,1.234725684,1.581928801,115.031949,22.55739992
Asia,Japan,None,2020-02-21,5.641673184,0.701158594,19.40381404,1.630706013,0.038093345,0.822719051,10.37285094,0.740717802,0.417279349,0.632725371,143.5235516,51.17230356
Asia,Jordan,None,2020-03-22,2.115070264,0.684449869,-495.0081452,0.00720473,0.154247831,0.049835176,0.550774039,0.000145036,2.33E-07,0.210410738,28.98691782,17.61283562
Asia,Kazakhstan,None,2020-03-26,9.236606846,0.610230485,-1.911673274,0.259732343,0.023259035,0.021210437,0,0.007754183,3.039280903,5.208554213,88.4398705,2.029946397
Africa,Kenya,None,2020-04-02,9.419471083,0.330083215,-105.0989672,0,0.039054168,0.121241275,1.186320265,1.178202088,0.818781642,0.999999745,59.31440135,16.96030564
Asia,"Korea, South",None,2020-02-20,1.445848742,0.236060023,0.003642572,0,0.049382228,0.025896254,0.240595462,24.42465596,15.59477596,1.355060312,148.3304039,27.15937694
Europe,Kosovo,None,2020-03-31,5.33900427,1.167470038,-16.05428762,0.274832928,0.302642159,0.038881387,0.006720049,0.012615272,2.71E-05,0.002315658,72.33800839,154.055304
Asia,Kuwait,None,2020-03-14,0.419439347,1.863054777,-0.031163976,1.060216637,1,0.006164974,0,0.040462649,0.04198027,0.164436151,209.2695664,82.00305582
Europe,Latvia,None,2020-03-20,3.598730225,0.264608696,-215.1391295,0,0.108096943,0.031125907,0.316780798,2.139168902,1.94E-06,1.467561392,243.1892393,75.65560988
Asia,Lebanon,None,2020-03-15,2.987353761,0.571497139,-1.107557916,0.043362811,1,0.00839254,0,0.013095066,0.026235411,0.145598078,138.3606792,5.70964326
Africa,Lesotho,None,2020-07-09,1.018874283,0.414047534,-17.82997485,0.087449516,0.076404138,0.066683727,3.028133981,0.001057567,1.051935296,0,0.228895261,1.010171669
Africa,Liberia,None,2020-04-21,2.31980966,1.081444142,-274.0295447,0.145380669,0.122255412,0.07780164,0.170981844,0.578349395,0.573210732,1.014457839,46.48624568,3.555896621
Africa,Libya,None,2020-05-28,0.904205532,0.437938556,-4.6193402,0.02645342,1,0.065759509,1.669037476,1.516667026,1.320739523,1.267240088,65.64227155,4.391975281
Europe,Liechtenstein,None,2020-08-25,19.80245312,2.534741942,-3.577312533,1.783230508,0.044851964,0.000204021,0.40107084,1.04E-08,0,1.442834821,2.601431981,23.64585078
Europe,Lithuania,None,2020-03-22,1.982196115,0.329694924,-35.22264834,4.22E-07,0.063198774,0.100071201,1.827310828,0.951401132,0.671150758,1.667892572,268.0169016,61.93878857
Europe,Luxembourg,None,2020-03-17,4.924873324,0.342080303,-12.18631584,6.40E-07,0.04523859,0.139671585,13.1201711,3.114475323,1.253146538,1.428914407,209.3323417,17.30219085
Africa,Madagascar,None,2020-04-11,1.706999835,4.683913476,-4.208358313,2.095282098,0.075830177,0.014836499,0.02336085,0.001309074,1.19E-05,0.674113488,83.28611183,1.271716094
Africa,Malawi,None,2020-05-25,0.570413128,1.243318251,-12.33681437,0.809583387,0.19907658,0.030748327,1.89E-05,0.909048643,0.156227303,0.812330305,40.76559334,1.326239612
Asia,Malaysia,None,2020-03-09,3.132672338,0.644129917,-165.365042,0.121364439,0.056265917,0.020750161,1.04242419,13.31947605,0.594144463,0.726727734,193.2944308,37.2784633
Asia,Maldives,None,2020-04-23,1.838598249,0.358420674,3.565404824,0.025174134,1,0.003348762,0,0.85714156,2.263998664,1.827457876,92.28093249,4.846878478
Africa,Mali,None,2020-04-12,1.006111277,1.627381807,-38.16152636,0.736396996,0.14409199,0.223034089,2.488198827,2.251452274,0,0.177687629,152.9911141,29.84464661
Europe,Malta,None,2020-03-23,2.068527713,0.418805541,-29.04522415,0,1,0.010267157,1.230940566,0.000908837,0.133352976,0.121422094,207.1803836,24.85714345
