Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2020-10-01,6244410,289022,8674,8674,157063,2166
None,None,None,2020-10-02,6274164,298808,9151,9564,157595,2240
None,None,None,2020-10-03,6302458,306602,9566,10410,158100,2296
None,None,None,2020-10-04,6330374,313551,9953,11251,158589,2347
None,None,None,2020-10-05,6358519,320300,10328,12094,159071,2397
None,None,None,2020-10-06,6387263,327207,10710,12954,159547,2444
None,None,None,2020-10-07,6416801,334453,11096,13843,160025,2498
None,None,None,2020-10-08,6447324,342187,11493,14761,160510,2561
None,None,None,2020-10-09,6478924,350466,11903,15705,161003,2618
None,None,None,2020-10-10,6511678,359335,12332,16686,161503,2682
None,None,None,2020-10-11,6545688,368848,12775,17711,162005,2754
None,None,None,2020-10-12,6581049,379047,13239,18769,162517,2827
None,None,None,2020-10-13,6617819,389955,13724,19872,163044,2908
None,None,None,2020-10-14,6656091,401609,14232,21023,163573,2994
None,None,None,2020-10-15,6695952,414038,14759,22218,164116,3085
None,None,None,2020-10-16,6737516,427314,15318,23464,164667,3187
None,None,None,2020-10-17,6780887,441474,15906,24766,165234,3290
None,None,None,2020-10-18,6826146,456536,16514,26125,165809,3401
None,None,None,2020-10-19,6873374,472526,17161,27537,166393,3524
None,None,None,2020-10-20,6922682,489478,17838,29019,166998,3647
None,None,None,2020-10-21,6974224,507490,18552,30564,167611,3782
None,None,None,2020-10-22,7028141,526624,19299,32179,168241,3923
None,None,None,2020-10-23,7084511,546897,20090,33871,168885,4073
None,None,None,2020-10-24,7143399,568280,20911,35640,169547,4233
None,None,None,2020-10-25,7204905,590791,21780,37489,170223,4403
None,None,None,2020-10-26,7269199,614527,22686,39415,170917,4574
None,None,None,2020-10-27,7336420,639546,23642,41430,171632,4762
None,None,None,2020-10-28,7406682,665884,24643,43539,172368,4960
None,None,None,2020-10-29,7480055,693523,25692,45738,173122,5168
None,None,None,2020-10-30,7556582,722400,26780,48036,173898,5380
None,None,None,2020-10-31,7636347,752516,27920,50431,174697,5604
None,None,None,2020-11-01,7719442,783877,29101,52918,175524,5834
None,None,None,2020-11-02,7806020,816562,30339,55519,176368,6081
None,None,None,2020-11-03,7896185,850604,31624,58220,177241,6334
None,None,None,2020-11-04,7989948,885903,32956,61036,178140,6593
None,None,None,2020-11-05,8087282,922364,34328,63960,179067,6866
None,None,None,2020-11-06,8188197,959888,35748,66986,180028,7143
None,None,None,2020-11-07,8292746,998478,37209,70121,181012,7435
None,None,None,2020-11-08,8401025,1038150,38722,73369,182025,7728
None,None,None,2020-11-09,8513085,1078901,40268,76731,183070,8031
None,None,None,2020-11-10,8628856,1120598,41861,80206,184151,8341
None,None,None,2020-11-11,8748278,1163101,43482,83788,185258,8659
None,None,None,2020-11-12,8871295,1206296,45142,87476,186400,8979
None,None,None,2020-11-13,8997911,1250148,46829,91276,187579,9305
None,None,None,2020-11-14,9128147,1294649,48550,95182,188793,9635
None,None,None,2020-11-15,9261978,1339725,50293,99196,190036,9970
None,None,None,2020-11-16,9399284,1385240,52066,103319,191316,10308
None,None,None,2020-11-17,9539958,1431028,53858,107538,192633,10649
None,None,None,2020-11-18,9683884,1476971,55664,111855,193986,10988
None,None,None,2020-11-19,9831026,1523010,57480,116268,195370,11332
None,None,None,2020-11-20,9981351,1569132,59310,120780,196794,11674
None,None,None,2020-11-21,10134826,1615306,61151,125380,198251,12019
None,None,None,2020-11-22,10291290,1661374,62996,130081,199745,12357
None,None,None,2020-11-23,10450588,1707183,64843,134854,201277,12696
None,None,None,2020-11-24,10612609,1752631,66687,139716,202844,13035
None,None,None,2020-11-25,10777211,1797605,68523,144653,204446,13367
None,None,None,2020-11-26,10944306,1842060,70349,149663,206085,13701
None,None,None,2020-11-27,11113865,1885995,72166,154753,207754,14023
None,None,None,2020-11-28,11285807,1929375,73968,159909,209461,14343
None,None,None,2020-11-29,11459923,1972023,75757,165134,211199,14662
None,None,None,2020-11-30,11636046,2013835,77526,170417,212977,14969
None,None,None,2020-12-01,11814024,2054709,79266,175756,214783,15274
None,None,None,2020-12-02,11993745,2094606,80978,181151,216622,15569
None,None,None,2020-12-03,12175114,2133500,82664,186595,218490,15855
None,None,None,2020-12-04,12357929,2171281,84323,192077,220391,16139
None,None,None,2020-12-05,12542021,2207844,85934,197597,222321,16408
None,None,None,2020-12-06,12727203,2243079,87513,203154,224277,16666
None,None,None,2020-12-07,12913362,2276968,89041,208740,226267,16916
None,None,None,2020-12-08,13100371,2309492,90533,214351,228282,17157
None,None,None,2020-12-09,13287991,2340492,91973,219977,230322,17386
None,None,None,2020-12-10,13476060,2369899,93367,225619,232386,17599
None,None,None,2020-12-11,13664514,2397775,94699,231272,234471,17807
None,None,None,2020-12-12,13853397,2424257,95989,236943,236579,18004
None,None,None,2020-12-13,14042970,2449702,97245,242622,238712,18189
None,None,None,2020-12-14,14233203,2474139,98462,248337,240862,18368
None,None,None,2020-12-15,14423686,2497229,99630,254050,243032,18537
None,None,None,2020-12-16,14614064,2518711,100742,259755,245221,18698
None,None,None,2020-12-17,14803979,2538354,101792,265461,247426,18841
None,None,None,2020-12-18,14993166,2556017,102779,271134,249648,18969
None,None,None,2020-12-19,15181396,2571618,103689,276783,251883,19080
None,None,None,2020-12-20,15368556,2585209,104525,282394,254129,19183
None,None,None,2020-12-21,15554323,2596587,105277,287966,256387,19264
None,None,None,2020-12-22,15738378,2605566,105952,293491,258650,19330
None,None,None,2020-12-23,15920561,2612149,106549,298956,260922,19373
None,None,None,2020-12-24,16100790,2616406,107048,304364,263204,19403
None,None,None,2020-12-25,16279140,2618563,107477,309716,265488,19415
None,None,None,2020-12-26,16455991,2619163,107843,315016,267775,19418
None,None,None,2020-12-27,16631720,2618700,108160,320290,270055,19410
None,None,None,2020-12-28,16806346,2617223,108429,325529,272340,19395
None,None,None,2020-12-29,16979876,2614788,108657,330735,274624,19375
None,None,None,2020-12-30,17152204,2611337,108836,335902,276906,19351
None,None,None,2020-12-31,17323027,2606643,108961,341032,279185,19311
None,None,None,2021-01-01,17492106,2600567,109031,346098,281456,19263
None,None,None,2021-01-02,17659245,2593073,109039,351117,283722,19209
None,None,None,2021-01-03,17823972,2583791,108982,356058,285987,19134
None,None,None,2021-01-04,17985766,2572295,108840,360912,288238,19046
None,None,None,2021-01-05,18144303,2558399,108608,365670,290478,18938
None,None,None,2021-01-06,18299441,2542106,108284,370319,292714,18815
None,None,None,2021-01-07,18451164,2523569,107877,374872,294931,18678
None,None,None,2021-01-08,18599520,2503008,107392,379322,297142,18519
None,None,None,2021-01-09,18744507,2480573,106823,383675,299332,18353
None,None,None,2021-01-10,18885966,2456218,106181,387914,301510,18172
None,None,None,2021-01-11,19023891,2430039,105466,392056,303664,17976
None,None,None,2021-01-12,19158313,2402214,104679,396089,305804,17761
None,None,None,2021-01-13,19289220,2372812,103824,400015,307925,17538
None,None,None,2021-01-14,19416651,2341978,102905,403840,310026,17318
None,None,None,2021-01-15,19540681,2309886,101927,407560,312105,17071
None,None,None,2021-01-16,19661365,2276672,100898,411178,314169,16822
None,None,None,2021-01-17,19778657,2242368,99808,414700,316199,16566
None,None,None,2021-01-18,19892513,2206982,98678,418112,318210,16301
None,None,None,2021-01-19,20003000,2170660,97491,421432,320201,16029
None,None,None,2021-01-20,20110192,2133547,96263,424643,322161,15752
None,None,None,2021-01-21,20214118,2095726,94997,427762,324101,15468
None,None,None,2021-01-22,20314741,2057216,93693,430780,326013,15183
None,None,None,2021-01-23,20412029,2017987,92344,433701,327895,14890
None,None,None,2021-01-24,20505917,1978052,90961,436515,329759,14591
None,None,None,2021-01-25,20596517,1937529,89535,439234,331589,14288
None,None,None,2021-01-26,20683913,1896563,88086,441856,333394,13984
None,None,None,2021-01-27,20768241,1855321,86612,444387,335167,13674
None,None,None,2021-01-28,20849582,1813915,85115,446824,336915,13368
None,None,None,2021-01-29,20927971,1772385,83608,449179,338640,13056
None,None,None,2021-01-30,21003363,1730680,82068,451440,340328,12748
None,None,None,2021-01-31,21075790,1688817,80515,453611,341987,12434
None,None,None,2021-02-01,21145391,1646948,78954,455698,343624,12122
None,None,None,2021-02-02,21212299,1605212,77376,457707,345223,11812
None,None,None,2021-02-03,21276652,1563749,75795,459635,346799,11505
None,None,None,2021-02-04,21338559,1522642,74218,461493,348338,11201
None,None,None,2021-02-05,21398077,1481927,72640,463282,349853,10900
None,None,None,2021-02-06,21455232,1441585,71064,464996,351338,10595
None,None,None,2021-02-07,21510059,1401620,69488,466641,352792,10297
None,None,None,2021-02-08,21562664,1362114,67926,468219,354216,10004
None,None,None,2021-02-09,21613157,1323142,66365,469731,355616,9718
None,None,None,2021-02-10,21661644,1284779,64812,471182,356984,9429
