Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2020-10-01,6244410,368777,11062,11062,157063,2769
None,None,None,2020-10-02,6269622,369156,11305,11820,157518,2768
None,None,None,2020-10-03,6294124,368847,11523,12558,157975,2764
None,None,None,2020-10-04,6318691,368624,11728,13288,158434,2762
None,None,None,2020-10-05,6343807,368971,11941,14044,158890,2763
None,None,None,2020-10-06,6369787,370136,12167,14823,159354,2765
None,None,None,2020-10-07,6396863,372302,12418,15638,159815,2784
None,None,None,2020-10-08,6425213,375563,12693,16490,160278,2809
None,None,None,2020-10-09,6455017,380031,13004,17383,160748,2837
None,None,None,2020-10-10,6486445,385783,13342,18320,161225,2883
None,None,None,2020-10-11,6519639,392872,13719,19320,161705,2930
None,None,None,2020-10-12,6554749,401359,14137,20372,162198,2992
None,None,None,2020-10-13,6591882,411257,14591,21491,162687,3064
None,None,None,2020-10-14,6631093,422513,15093,22660,163199,3151
None,None,None,2020-10-15,6672461,435124,15628,23903,163712,3242
None,None,None,2020-10-16,6716041,449055,16210,25211,164236,3345
None,None,None,2020-10-17,6761865,464248,16825,26590,164778,3459
None,None,None,2020-10-18,6809982,480669,17486,28033,165330,3580
None,None,None,2020-10-19,6860459,498285,18182,29545,165897,3712
None,None,None,2020-10-20,6913361,517103,18926,31132,166478,3853
None,None,None,2020-10-21,6968783,537126,19706,32794,167074,4000
None,None,None,2020-10-22,7026777,558341,20522,34533,167688,4155
None,None,None,2020-10-23,7087371,580687,21377,36350,168322,4325
None,None,None,2020-10-24,7150591,604097,22275,38247,168973,4499
None,None,None,2020-10-25,7216532,628601,23210,40227,169648,4680
None,None,None,2020-10-26,7285296,654238,24187,42289,170334,4871
None,None,None,2020-10-27,7356958,681011,25207,44439,171043,5069
None,None,None,2020-10-28,7431581,708886,26265,46678,171781,5280
None,None,None,2020-10-29,7509176,737825,27361,49004,172541,5495
None,None,None,2020-10-30,7589788,767779,28506,51424,173321,5719
None,None,None,2020-10-31,7673488,798762,29677,53935,174124,5944
None,None,None,2020-11-01,7760328,830747,30897,56538,174961,6185
None,None,None,2020-11-02,7850386,863750,32152,59239,175813,6431
None,None,None,2020-11-03,7943693,897745,33442,62043,176697,6682
None,None,None,2020-11-04,8040279,932679,34776,64939,177608,6943
None,None,None,2020-11-05,8140204,968563,36149,67937,178550,7208
None,None,None,2020-11-06,8243516,1005371,37559,71040,179519,7485
None,None,None,2020-11-07,8350205,1043048,39003,74236,180516,7764
None,None,None,2020-11-08,8460271,1081535,40479,77540,181547,8049
None,None,None,2020-11-09,8573734,1120775,41987,80940,182608,8341
None,None,None,2020-11-10,8690579,1160725,43534,84448,183699,8636
None,None,None,2020-11-11,8810856,1201372,45105,88054,184824,8943
None,None,None,2020-11-12,8934570,1242694,46713,91769,185978,9245
None,None,None,2020-11-13,9061687,1284608,48338,95580,187169,9558
None,None,None,2020-11-14,9192182,1327046,50003,99497,188389,9871
None,None,None,2020-11-15,9326008,1369944,51684,103514,189644,10194
None,None,None,2020-11-16,9463101,1413187,53382,107624,190940,10515
None,None,None,2020-11-17,9603444,1456734,55101,111832,192264,10841
None,None,None,2020-11-18,9747031,1500583,56842,116144,193625,11163
None,None,None,2020-11-19,9893826,1544668,58594,120545,195018,11487
None,None,None,2020-11-20,10043729,1588896,60361,125043,196448,11821
None,None,None,2020-11-21,10196605,1633106,62131,129628,197917,12147
None,None,None,2020-11-22,10352337,1677180,63911,134305,199416,12473
None,None,None,2020-11-23,10510847,1721047,65688,139056,200948,12796
None,None,None,2020-11-24,10672125,1764729,67472,143896,202517,13121
None,None,None,2020-11-25,10836096,1808165,69251,148812,204124,13447
None,None,None,2020-11-26,11002595,1851205,71021,153809,205764,13764
None,None,None,2020-11-27,11171501,1893772,72787,158876,207439,14077
None,None,None,2020-11-28,11342653,1935717,74535,164010,209153,14387
None,None,None,2020-11-29,11515937,1976983,76272,169209,210888,14697
None,None,None,2020-11-30,11691288,2017550,77987,174468,212663,14994
None,None,None,2020-12-01,11868677,2057460,79688,179791,214470,15293
None,None,None,2020-12-02,12047896,2096536,81365,185168,216308,15581
None,None,None,2020-12-03,12228701,2134617,83010,190589,218177,15863
None,None,None,2020-12-04,12410903,2171535,84630,196058,220079,16136
None,None,None,2020-12-05,12594445,2207337,86213,201564,222004,16402
None,None,None,2020-12-06,12779304,2242093,87761,207112,223965,16655
None,None,None,2020-12-07,12965322,2275723,89271,212691,225951,16903
None,None,None,2020-12-08,13152331,2308142,90746,218302,227959,17141
None,None,None,2020-12-09,13340070,2339160,92175,223936,229998,17376
None,None,None,2020-12-10,13528287,2368590,93558,229577,232059,17592
None,None,None,2020-12-11,13716934,2396527,94891,235242,234143,17798
None,None,None,2020-12-12,13906044,2423088,96175,240911,236253,17995
None,None,None,2020-12-13,14095414,2448192,97409,246595,238382,18176
None,None,None,2020-12-14,14284862,2471752,98594,252277,240528,18350
None,None,None,2020-12-15,14474225,2493714,99715,257961,242695,18510
None,None,None,2020-12-16,14663291,2513951,100790,263630,244878,18657
None,None,None,2020-12-17,14851932,2532459,101786,269292,247077,18796
None,None,None,2020-12-18,15040118,2549337,102739,274934,249293,18915
None,None,None,2020-12-19,15227754,2564615,103623,280560,251525,19024
None,None,None,2020-12-20,15414582,2578131,104453,286168,253765,19122
None,None,None,2020-12-21,15600414,2589804,105213,291742,256013,19213
None,None,None,2020-12-22,15785130,2599646,105903,297283,258276,19281
None,None,None,2020-12-23,15968612,2607638,106531,302788,260541,19337
None,None,None,2020-12-24,16150836,2613906,107089,308256,262815,19384
None,None,None,2020-12-25,16331843,2618631,107590,313684,265094,19415
None,None,None,2020-12-26,16511599,2621879,108030,319079,267376,19437
None,None,None,2020-12-27,16690050,2623691,108416,324432,269661,19449
None,None,None,2020-12-28,16867343,2624266,108751,329750,271949,19448
None,None,None,2020-12-29,17043430,2623648,109033,335037,274232,19441
None,None,None,2020-12-30,17218035,2621624,109257,340273,276520,19422
None,None,None,2020-12-31,17390987,2618129,109420,345461,278803,19398
None,None,None,2021-01-01,17562293,2613322,109533,350597,281081,19361
None,None,None,2021-01-02,17731689,2607026,109582,355686,283358,19309
None,None,None,2021-01-03,17898913,2599081,109574,360698,285627,19248
None,None,None,2021-01-04,18063745,2589379,109486,365644,287888,19177
None,None,None,2021-01-05,18225998,2577831,109331,370513,290142,19087
None,None,None,2021-01-06,18385482,2564344,109101,375292,292386,18985
None,None,None,2021-01-07,18542268,2549134,108802,379999,294622,18863
None,None,None,2021-01-08,18696443,2532406,108445,384623,296841,18739
None,None,None,2021-01-09,18847889,2514173,108019,389167,299051,18601
None,None,None,2021-01-10,18996503,2494409,107527,393626,301244,18455
None,None,None,2021-01-11,19142162,2473124,106978,397995,303424,18294
None,None,None,2021-01-12,19284708,2450246,106358,402270,305590,18123
None,None,None,2021-01-13,19424001,2425718,105669,406449,307738,17937
None,None,None,2021-01-14,19560086,2399703,104923,410530,309871,17742
None,None,None,2021-01-15,19693068,2372405,104114,414520,311982,17536
None,None,None,2021-01-16,19822934,2343894,103256,418418,314077,17324
None,None,None,2021-01-17,19949810,2314372,102341,422224,316153,17104
None,None,None,2021-01-18,20073851,2284061,101391,425947,318210,16875
None,None,None,2021-01-19,20195079,2253064,100398,429583,320248,16646
None,None,None,2021-01-20,20313453,2221361,99368,433133,322262,16406
None,None,None,2021-01-21,20428915,2188938,98304,436598,324255,16165
None,None,None,2021-01-22,20541412,2155778,97195,439973,326235,15916
None,None,None,2021-01-23,20650870,2121849,96044,443255,328192,15666
None,None,None,2021-01-24,20757238,2087162,94861,446448,330126,15406
None,None,None,2021-01-25,20860527,2051763,93640,449545,332037,15143
None,None,None,2021-01-26,20960738,2015736,92380,452556,333926,14873
None,None,None,2021-01-27,21057829,1979078,91086,455466,335799,14596
None,None,None,2021-01-28,21151713,1941753,89760,458280,337644,14319
None,None,None,2021-01-29,21242323,1903729,88396,461000,339466,14036
None,None,None,2021-01-30,21329581,1864945,86991,463618,341267,13745
None,None,None,2021-01-31,21413444,1825423,85557,466136,343039,13450
None,None,None,2021-02-01,21494012,1785292,84090,468549,344794,13154
None,None,None,2021-02-02,21571408,1744736,82591,470876,346522,12850
None,None,None,2021-02-03,21645709,1703864,81073,473102,348216,12548
None,None,None,2021-02-04,21716986,1662765,79531,475239,349894,12243
None,None,None,2021-02-05,21785229,1621445,77972,477287,351540,11934
None,None,None,2021-02-06,21850427,1579877,76395,479246,353162,11625
None,None,None,2021-02-07,21912629,1538129,74799,481111,354756,11314
None,None,None,2021-02-08,21971991,1496367,73195,482891,356322,11003
None,None,None,2021-02-09,22028627,1454713,71581,484588,357869,10692
None,None,None,2021-02-10,22082611,1413217,69959,486211,359381,10381
None,None,None,2021-02-11,22134022,1371969,68338,487751,360869,10080
None,None,None,2021-02-12,22182915,1330986,66720,489222,362329,9777
None,None,None,2021-02-13,22229344,1290290,65093,490612,363759,9473
None,None,None,2021-02-14,22273391,1249957,63471,491936,365167,9173
None,None,None,2021-02-15,22315201,1210100,61862,493188,366547,8879
None,None,None,2021-02-16,22354844,1170751,60261,494377,367897,8590
None,None,None,2021-02-17,22392383,1131952,58663,495504,369227,8300
None,None,None,2021-02-18,22427887,1093711,57088,496568,370525,8015
None,None,None,2021-02-19,22461415,1056064,55518,497573,371797,7736
None,None,None,2021-02-20,22493068,1019044,53965,498522,373046,7463
None,None,None,2021-02-21,22522953,982743,52435,499418,374266,7196
None,None,None,2021-02-22,22551175,947207,50921,500265,375459,6931
None,None,None,2021-02-23,22577796,912440,49423,501063,376631,6672
None,None,None,2021-02-24,22602853,878436,47952,501815,377780,6419
None,None,None,2021-02-25,22626378,845166,46505,502522,378898,6176
None,None,None,2021-02-26,22648447,812647,45072,503186,379992,5933
None,None,None,2021-02-27,22669176,780939,43670,503810,381065,5701
