region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('Asia', 'Afghanistan', 'None')",False,2614.109924563277,1240.8120649590198,0.9877450980392157
"('Europe', 'Albania', 'None')",False,1075.2099469745604,1004.2444574710511,0.6082474226804123
"('Africa', 'Algeria', 'None')",True,434.4076559773992,447.6671206934662,0.6387832699619772
"('Europe', 'Andorra', 'None')",False,2309.0255852617524,2302.490385754115,0.6972972972972973
"('Africa', 'Angola', 'None')",True,767.3991302193665,785.8496179115871,0.5721784776902887
"('North America', 'Antigua and Barbuda', 'None')",False,1501.9269799909619,854.7645188605571,1.7692307692307692
"('South America', 'Argentina', 'None')",False,649.9669776675702,652.4014956071063,0.5832106261859582
"('Asia', 'Armenia', 'None')",False,1254.7442460510442,1247.4958624984831,0.5905118601747815
"('Oceania', 'Australia', 'Australian Capital Territory')",False,1.9999999999999998,1.9999999999999998,0.16666666666666666
"('Oceania', 'Australia', 'New South Wales')",False,1568.458100315652,1593.1100441473843,0.85
"('Oceania', 'Australia', 'Queensland')",False,1817.6784326784327,1797.0370407370406,1.2857142857142858
"('Oceania', 'Australia', 'South Australia')",False,1315.51645021645,1056.5751209574737,0.6666666666666666
"('Oceania', 'Australia', 'Tasmania')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Victoria')",True,1606.1455433455433,1837.6591297591297,1.4615384615384615
"('Oceania', 'Australia', 'Western Australia')",False,605.8222222222222,481.5650793650793,0.5172413793103449
"('Europe', 'Austria', 'None')",True,503.4321095137728,551.1430691811646,0.17718120805369128
"('Asia', 'Azerbaijan', 'None')",True,684.5511402628283,721.3499604059913,0.41870464928782586
"('Asia', 'Bahrain', 'None')",True,706.165436852036,735.0950255257582,0.580711789005402
"('Asia', 'Bangladesh', 'None')",True,531.8385374483499,622.8056802455968,0.16655017473789316
"('North America', 'Barbados', 'None')",False,1669.8330434614068,1702.5218759020652,0.7532467532467533
"('Europe', 'Belarus', 'None')",True,560.4215548494032,579.68089584963,0.1965365303822113
"('Europe', 'Belgium', 'None')",True,1013.4928819972966,1101.3091172544243,0.33783116669409247
"('North America', 'Belize', 'None')",False,2625.8497713435886,2626.1114801896447,1.4
"('Africa', 'Benin', 'None')",False,4452.56940574437,3969.882245132891,1.9069767441860466
"('Asia', 'Bhutan', 'None')",False,1544.1071821159085,1461.1836212302426,1.4
"('South America', 'Bolivia', 'None')",False,1672.160312838514,1666.5477868804371,0.2501826684202835
"('Europe', 'Bosnia and Herzegovina', 'None')",False,2680.4271377799178,2560.1626776719186,0.43490304709141275
"('Africa', 'Botswana', 'None')",False,5167.442098076198,5271.609121429413,1.0612972202423379
"('South America', 'Brazil', 'None')",False,954.7419951299605,948.9938362928348,0.24949491222081793
"('Europe', 'Bulgaria', 'None')",False,1492.1112722538992,1401.8430407713877,0.365987460815047
"('Africa', 'Burkina Faso', 'None')",False,1821.1530776309078,1817.3878066216,0.8620689655172413
"('Africa', 'Burundi', 'None')",True,1923.2128424049206,2342.032989042343,1.3966480446927374
"('Africa', 'Cabo Verde', 'None')",True,1044.8860667016008,1236.283721206387,0.79
"('Asia', 'Cambodia', 'None')",False,1080.6527280355215,1090.1711760639691,2.2695252679938744
"('Africa', 'Cameroon', 'None')",False,5540.429939425356,5513.5021816522485,689.9
"('North America', 'Canada', 'Alberta')",True,784.8904643092828,873.2792143707677,0.3892878515858767
"('North America', 'Canada', 'British Columbia')",False,2434.7665883353584,2378.824287406266,0.8195430984833941
"('North America', 'Canada', 'Manitoba')",False,725.0716830580996,709.6037260519738,0.5121065375302664
"('North America', 'Canada', 'New Brunswick')",False,1489.2087427037927,1499.5340134471433,0.6363636363636364
"('North America', 'Canada', 'Newfoundland and Labrador')",True,1338.9784569259953,1401.1379158126736,0.6666666666666666
"('North America', 'Canada', 'Nova Scotia')",True,1218.3763559080307,1358.2903287790668,1.835820895522388
"('North America', 'Canada', 'Ontario')",False,644.6786018674312,622.4337310228635,0.48555592878736986
"('North America', 'Canada', 'Quebec')",True,393.25386567916564,403.7100571589134,0.39405720633157454
"('North America', 'Canada', 'Saskatchewan')",False,615.7165252010536,617.8695576009923,0.19138755980861244
"('Africa', 'Central African Republic', 'None')",False,3770.6429785838973,3606.9728318169027,4.857142857142857
"('Africa', 'Chad', 'None')",False,1221.5876128531813,1161.1033047551414,0.7692307692307693
"('South America', 'Chile', 'None')",True,578.3524178771625,621.2337541392315,0.40820203605426725
"('South America', 'Colombia', 'None')",True,397.3323239592371,442.37740082692665,0.681680319736954
"('Africa', 'Comoros', 'None')",False,1663.3863247863246,1430.122407114966,0.8333333333333334
"('Africa', 'Congo (Brazzaville)', 'None')",False,5260.027374129004,4947.711287498261,38.2
"('Africa', 'Congo (Kinshasa)', 'None')",False,3669.491336319505,1420.4248742308932,0.9883177570093458
"('North America', 'Costa Rica', 'None')",True,2758.5098549040777,2820.6543256173863,2.9435736677115987
"('Africa', ""Cote d'Ivoire"", 'None')",True,2088.4228373587534,2357.4682414276695,0.9922839506172839
"('Europe', 'Croatia', 'None')",True,1517.9272221835142,1597.2611690061717,0.5445783132530121
"('North America', 'Cuba', 'None')",True,313.7744702751974,337.65402095674625,0.2851892686512312
"('Europe', 'Cyprus', 'None')",False,1805.5632668292644,1764.2175870721571,0.925249169435216
"('Europe', 'Czechia', 'None')",False,1252.9911428819323,1157.0192033585713,0.3170969313200195
"('Europe', 'Denmark', 'None')",True,762.35415936539,870.459384545854,0.25889781859931116
"('Africa', 'Djibouti', 'None')",False,2267.339100074111,2070.253574521233,0.8314606741573034
"('North America', 'Dominican Republic', 'None')",False,747.2048766142935,743.2429285272841,0.5953451467865644
"('South America', 'Ecuador', 'None')",True,1372.1041082559261,1510.0567146815918,0.3059525461357014
"('Africa', 'Egypt', 'None')",True,88.54272611476877,102.8015073988422,0.07312186978297162
"('North America', 'El Salvador', 'None')",False,3930.686772323677,3938.9876393267027,0.8649350649350649
"('Africa', 'Equatorial Guinea', 'None')",False,3424.6446444097287,3169.6161508864016,36.5
"('Europe', 'Estonia', 'None')",False,813.8853195946278,813.3741536035666,0.20491084478222743
"('Africa', 'Ethiopia', 'None')",False,821.0220169752502,654.4165757648232,0.5034802784222738
"('Europe', 'Finland', 'None')",False,976.4355086566452,927.552398914571,0.2681744749596123
"('Europe', 'France', 'None')",True,2011.9864863969797,2256.6075029049816,0.564254981884058
"('Africa', 'Gabon', 'None')",False,4344.916575731476,4387.167142091397,0.4117647058823529
"('Africa', 'Gambia', 'None')",False,2598.426848159991,2331.127143296292,1.3181818181818181
"('Asia', 'Georgia', 'None')",True,891.109294714671,937.9559486292878,0.17817697937458415
"('Europe', 'Germany', 'None')",False,1279.8461440246551,1279.8444107618946,0.4572009104010963
"('Africa', 'Ghana', 'None')",True,3269.4988504548073,3402.426572726445,0.6704361873990307
"('Europe', 'Greece', 'None')",True,756.1080716327118,812.348862353638,0.35475366617235127
"('North America', 'Guatemala', 'None')",True,1586.1036299549419,1644.206252284674,1.5811724915445322
"('Africa', 'Guinea', 'None')",False,2556.055777911017,2538.295376448644,0.4959349593495935
