region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('Asia', 'Afghanistan', 'None')",True,2021.2142065329958,2077.937283124016,0.8013417815877749
"('Europe', 'Albania', 'None')",True,1085.085522219676,2095.482392130016,0.5876288659793815
"('Africa', 'Algeria', 'None')",False,743.4831638963236,703.1905823882794,0.8149171270718232
"('Europe', 'Andorra', 'None')",True,2422.162303107883,2490.6249212027888,1.4883720930232558
"('Africa', 'Angola', 'None')",True,825.1840929354358,948.4777606433998,0.4734356552538371
"('North America', 'Antigua and Barbuda', 'None')",True,615.7242424242424,628.8194805194806,0.7777777777777778
"('South America', 'Argentina', 'None')",True,573.9749387289833,588.4481828883862,0.32500247988927883
"('Asia', 'Armenia', 'None')",False,1335.0899135424552,1296.4585672353724,0.9968837644125896
"('Oceania', 'Australia', 'Australian Capital Territory')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'New South Wales')",True,700.9325926490536,762.9138473037992,0.8387096774193549
"('Oceania', 'Australia', 'Queensland')",False,1651.7997101412798,1629.7962197159563,0.8181818181818182
"('Oceania', 'Australia', 'South Australia')",True,946.2571428571429,1153.5190476190476,0.45
"('Oceania', 'Australia', 'Tasmania')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Victoria')",False,1823.2065746913438,1848.6551200868848,3.5714285714285716
"('Oceania', 'Australia', 'Western Australia')",True,248.46031746031747,427.1269841269841,0.5416666666666666
"('Europe', 'Austria', 'None')",True,540.4317885281511,1644.2747637578284,0.6572637517630465
"('Asia', 'Azerbaijan', 'None')",True,519.758405846843,1918.0196226786213,0.4479638009049774
"('Asia', 'Bahrain', 'None')",True,1060.5152908378639,2084.6938284481007,0.7230347349177331
"('Asia', 'Bangladesh', 'None')",True,538.642585762089,735.8601430234615,0.7363618962547055
"('North America', 'Barbados', 'None')",True,1349.532827258479,1505.6908439444776,1.0833333333333333
"('Europe', 'Belarus', 'None')",True,522.0150254704088,608.7561204890916,0.3463343583104062
"('Europe', 'Belgium', 'None')",True,1673.1044656225977,2010.0747112676568,0.7192694919222664
"('North America', 'Belize', 'None')",False,2306.2418302864594,2250.1102223073167,0.9008264462809917
"('Africa', 'Benin', 'None')",True,3385.099208499511,3564.5845053502117,1.0886075949367089
"('Asia', 'Bhutan', 'None')",False,1374.9432316328769,1400.9394226863128,0.7547169811320755
"('South America', 'Bolivia', 'None')",False,1463.0210116166365,1480.136687912895,0.23528006688164338
"('Europe', 'Bosnia and Herzegovina', 'None')",False,2785.55676848083,2757.280704426555,1.527220630372493
"('Africa', 'Botswana', 'None')",False,4094.7605800427204,3982.03615177812,1.601315456615229
"('South America', 'Brazil', 'None')",False,787.6026109418525,802.7793335343512,0.2819537105966272
"('Europe', 'Bulgaria', 'None')",True,952.4981983949185,2032.953914260207,0.3813273340832396
"('Africa', 'Burkina Faso', 'None')",False,1812.795847256192,1773.5904983904982,1.0714285714285714
