region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('Asia', 'Afghanistan', 'None')",False,2374.3183250243524,2176.4379594839593,0.8869565217391304
"('Europe', 'Albania', 'None')",False,1293.1058945739144,1260.99207651867,0.5670103092783505
"('Africa', 'Algeria', 'None')",False,465.90984112374514,471.45703038998,0.3161290322580645
"('Europe', 'Andorra', 'None')",True,2583.239642804648,2642.4046714684005,0.7301587301587301
"('Africa', 'Angola', 'None')",True,925.9243868095796,1000.3250226594404,0.3620689655172414
"('North America', 'Antigua and Barbuda', 'None')",False,1304.6260573220957,854.7645188605571,1.2
"('South America', 'Argentina', 'None')",False,801.7936915500376,806.893366281412,0.3788120879003824
"('Asia', 'Armenia', 'None')",False,1698.3702331220516,1715.6866293993705,0.7578313253012048
"('Oceania', 'Australia', 'Australian Capital Territory')",False,1.9999999999999998,1.9999999999999998,0.16666666666666666
"('Oceania', 'Australia', 'New South Wales')",True,1552.052493582467,2262.4984733787333,0.803921568627451
"('Oceania', 'Australia', 'Queensland')",False,2172.41496901791,1995.4370407370407,1.1578947368421053
"('Oceania', 'Australia', 'South Australia')",False,1427.130735930736,1181.075120957474,0.6666666666666666
"('Oceania', 'Australia', 'Tasmania')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Victoria')",True,1620.3179875679878,1770.8907509157507,1.3846153846153846
"('Oceania', 'Australia', 'Western Australia')",False,652.4380952380952,481.5650793650793,0.5172413793103449
"('Europe', 'Austria', 'None')",False,666.683526434613,586.6800157328009,0.2638190954773869
"('Asia', 'Azerbaijan', 'None')",True,824.8951979225568,989.7594321661459,0.5966138134909971
"('Asia', 'Bahrain', 'None')",False,729.125711158354,733.0969894345749,0.8358159549817941
"('Asia', 'Bangladesh', 'None')",True,516.2137887031287,723.6466676112217,0.4126809785322017
"('North America', 'Barbados', 'None')",False,1971.4735067975619,1953.0067243869132,0.7631578947368421
"('Europe', 'Belarus', 'None')",False,662.7271053567774,670.352675902483,0.1912081155856133
"('Europe', 'Belgium', 'None')",False,1197.5754001562714,1209.8066955735765,0.46616717396394286
"('North America', 'Belize', 'None')",False,2953.967963156329,2874.229442906978,1.3142857142857143
"('Africa', 'Benin', 'None')",False,5001.317642847586,4112.591922552247,2.046511627906977
"('Asia', 'Bhutan', 'None')",False,1747.017145542115,1643.0045316143105,1.6
"('South America', 'Bolivia', 'None')",False,1834.481125477932,1826.830833143949,0.31937746602367384
"('Europe', 'Bosnia and Herzegovina', 'None')",True,2752.9320563472097,2946.438298261548,0.37706342311033886
"('Africa', 'Botswana', 'None')",False,5931.813609452936,5957.674307629576,1.6108339272986458
"('South America', 'Brazil', 'None')",False,1070.31958591395,1060.9117210610614,0.23924862619199178
"('Europe', 'Bulgaria', 'None')",True,1505.87954952324,1667.2415825985088,0.27000308928019773
"('Africa', 'Burkina Faso', 'None')",False,2055.3773382110785,2022.3592351930288,0.9655172413793104
"('Africa', 'Burundi', 'None')",False,2330.0528505894963,2341.3863698964196,1.5034482758620689
"('Africa', 'Cabo Verde', 'None')",False,1227.7388799139699,1183.3787679854809,0.762
"('Asia', 'Cambodia', 'None')",True,1179.8865509555137,1252.4705738126581,1.7304747320061256
"('Africa', 'Cameroon', 'None')",False,6255.3434988622475,6225.450088908547,698.9
"('North America', 'Canada', 'Alberta')",False,1187.459372255221,1135.3218891251502,0.5691439322671684
"('North America', 'Canada', 'British Columbia')",False,2701.0202421788267,2679.263927243606,0.8464196582837397
"('North America', 'Canada', 'Manitoba')",False,918.6648071494103,829.4948714115625,0.8504065040650407
"('North America', 'Canada', 'New Brunswick')",False,1894.9096295091515,1761.40068011381,0.696969696969697
"('North America', 'Canada', 'Newfoundland and Labrador')",False,2869.3162166780585,1697.740432023145,0.8924731182795699
"('North America', 'Canada', 'Nova Scotia')",True,1476.986138366641,1514.6381757186655,1.671641791044776
"('North America', 'Canada', 'Ontario')",False,752.9198007321966,750.2206454705728,0.18938841045102905
"('North America', 'Canada', 'Quebec')",False,478.5768408065255,472.64870062934585,0.3976673146348237
"('North America', 'Canada', 'Saskatchewan')",False,733.3440332900616,737.3721174294855,0.18181818181818182
"('Africa', 'Central African Republic', 'None')",False,4843.225133905607,3837.137582774757,8.095238095238095
"('Africa', 'Chad', 'None')",True,1184.1744647923852,1218.1033047551414,0.5625
"('South America', 'Chile', 'None')",False,705.2552656427935,713.137062807548,0.41836165775290646
"('South America', 'Colombia', 'None')",False,435.1241533868001,431.28382185940785,0.5390458913234503
"('Africa', 'Comoros', 'None')",False,1620.8757853257853,1552.322407114966,0.8888888888888888
"('Africa', 'Congo (Brazzaville)', 'None')",False,5995.798047469877,5318.008776519767,32.4
"('Africa', 'Congo (Kinshasa)', 'None')",False,3360.5595444761516,1615.3885589324982,0.9883177570093458
"('North America', 'Costa Rica', 'None')",True,3076.8230401434826,3175.2620244917366,2.3893416927899684
"('Africa', ""Cote d'Ivoire"", 'None')",False,2553.5545735997166,2500.8360874714513,0.9891975308641975
"('Europe', 'Croatia', 'None')",False,1904.8074347879003,1924.5306900107441,0.6658767772511849
"('North America', 'Cuba', 'None')",True,379.0614033808443,423.64409322923336,0.24758054636775695
"('Europe', 'Cyprus', 'None')",False,2566.3604946381365,2531.062040997452,0.9825581395348837
"('Europe', 'Czechia', 'None')",False,1557.8401417283715,1318.620307914121,0.5489330389992642
"('Europe', 'Denmark', 'None')",False,925.2774639365692,888.0876249152795,0.5344180225281602
"('Africa', 'Djibouti', 'None')",True,2087.5159615226353,2301.2535745212326,1.4742268041237114
"('North America', 'Dominican Republic', 'None')",False,830.7062398616827,837.891055898642,0.5863528167151547
"('South America', 'Ecuador', 'None')",False,1710.3897250537223,1669.9655812422218,0.46018662519440123
"('Africa', 'Egypt', 'None')",True,118.0366233861887,145.0451022056655,0.06286098052384151
"('North America', 'El Salvador', 'None')",False,4565.193418367409,4605.632853473091,0.8116883116883117
"('Africa', 'Equatorial Guinea', 'None')",False,4807.189241644018,3330.252514522765,33.8
"('Europe', 'Estonia', 'None')",True,946.355637913157,1015.3019860050832,0.2638888888888889
"('Africa', 'Ethiopia', 'None')",True,663.7108574447591,844.2644076099314,0.35593518844663613
"('Europe', 'Finland', 'None')",True,1217.002385830565,1262.8747629947009,0.2797385620915033
"('Europe', 'France', 'None')",False,4140.650710747119,2352.597058283307,0.976779067829565
