region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('Asia', 'Afghanistan', 'None')",False,1297.2770833726677,1026.1716871458923,0.8507462686567164
"('Europe', 'Albania', 'None')",False,810.032688468867,800.6508745833505,0.35135135135135137
"('Africa', 'Algeria', 'None')",True,422.10618396343546,467.44440028746817,0.5754838709677419
"('Europe', 'Andorra', 'None')",False,2008.9296067401317,2031.723719087448,0.7027027027027027
"('Africa', 'Angola', 'None')",True,620.1869270508739,642.932854566657,0.7492877492877493
"('North America', 'Antigua and Barbuda', 'None')",False,1483.6669053111198,854.7645188605571,1.7692307692307692
"('South America', 'Argentina', 'None')",False,564.1864302487835,546.6765877247243,0.42066992849077905
"('Asia', 'Armenia', 'None')",False,1041.8797781434891,945.7326197704484,0.47876447876447875
"('Oceania', 'Australia', 'Australian Capital Territory')",False,1.9999999999999998,1.9999999999999998,0.16666666666666666
"('Oceania', 'Australia', 'New South Wales')",False,1399.0751827120246,1165.1674900263135,0.803921568627451
"('Oceania', 'Australia', 'Queensland')",False,1683.6272005772007,1499.3306915306914,1.2
"('Oceania', 'Australia', 'South Australia')",False,1093.7881079704607,886.3751209574738,0.6666666666666666
"('Oceania', 'Australia', 'Tasmania')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Victoria')",True,1507.2146853146853,1555.9480186480187,0.8529411764705882
"('Oceania', 'Australia', 'Western Australia')",False,597.1317460317459,481.5650793650793,0.4482758620689655
"('Europe', 'Austria', 'None')",True,453.18951290098903,512.6675771451185,0.20362438220757825
"('Asia', 'Azerbaijan', 'None')",False,604.3048397001718,575.9561579228188,0.5178715399086267
"('Asia', 'Bahrain', 'None')",False,843.082751029888,791.8082168104773,0.6930153563088246
"('Asia', 'Bangladesh', 'None')",False,1120.9051268456635,532.4913665588433,0.7220169745381927
"('North America', 'Barbados', 'None')",True,1505.255209235398,1628.6109648039258,0.5673076923076923
"('Europe', 'Belarus', 'None')",True,497.16372524156594,530.8685154063261,0.24109532633312744
