region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('Asia', 'Afghanistan', 'None')",True,1000.0233235286819,1046.1120035577871,4.46583850931677
"('Europe', 'Albania', 'None')",False,817.6516377650802,644.7581790435961,0.704225352112676
"('Africa', 'Algeria', 'None')",True,428.2115014242609,480.2180329749818,0.6148387096774194
"('Europe', 'Andorra', 'None')",False,1749.6093597205845,1773.2687234437058,0.7189189189189189
"('Africa', 'Angola', 'None')",True,546.177534571132,571.9954587046107,0.21132075471698114
"('North America', 'Antigua and Barbuda', 'None')",False,1139.6311855272238,854.7645188605571,0.949238578680203
"('South America', 'Argentina', 'None')",True,504.64073239491154,521.9365823044087,0.23750252985225662
"('Asia', 'Armenia', 'None')",False,797.1103955101067,803.3203009231734,0.20224719101123595
"('Oceania', 'Australia', 'Australian Capital Territory')",False,1.9999999999999998,1.9999999999999998,0.16666666666666666
"('Oceania', 'Australia', 'New South Wales')",False,995.51086596059,971.9514913482741,0.5833333333333334
"('Oceania', 'Australia', 'Queensland')",True,1391.978737928738,1421.5529137529136,1.15
"('Oceania', 'Australia', 'South Australia')",False,1032.0545454545454,804.3751209574738,0.8333333333333334
"('Oceania', 'Australia', 'Tasmania')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Victoria')",True,955.1634254977906,1385.7480186480186,1.0769230769230769
"('Oceania', 'Australia', 'Western Australia')",False,589.4555555555555,481.5650793650793,0.4444444444444444
"('Europe', 'Austria', 'None')",True,374.15685660484564,398.5758270935387,0.17281879194630873
"('Asia', 'Azerbaijan', 'None')",False,515.0733807060763,479.7319163216106,0.5917764041924214
"('Asia', 'Bahrain', 'None')",False,575.3054128953582,553.2142788168056,0.3463616142357801
"('Asia', 'Bangladesh', 'None')",False,996.4128904959501,420.74434613183394,0.6825367072789753
"('North America', 'Barbados', 'None')",False,1602.823655998067,1634.4549207310988,0.7894736842105263
"('Europe', 'Belarus', 'None')",True,435.975150699155,447.104942145065,0.16429894996911673
"('Europe', 'Belgium', 'None')",False,689.3394187722756,694.643141138849,0.24418561928206636
"('North America', 'Belize', 'None')",False,2211.254289921166,2053.699918529497,1.619047619047619
"('Africa', 'Benin', 'None')",False,3722.0061766117356,3609.2353401708847,1.8604651162790697
"('Asia', 'Bhutan', 'None')",False,1438.9400552974482,1374.162463434973,1.7
"('South America', 'Bolivia', 'None')",False,1114.6684077864927,1123.528219970976,0.3432416444838805
"('Europe', 'Bosnia and Herzegovina', 'None')",True,2096.011952243269,2141.8120401661713,0.347441735869274
"('Africa', 'Botswana', 'None')",False,4149.8768466082265,4133.234113135709,1.5737704918032787
"('South America', 'Brazil', 'None')",False,745.3021998120312,742.9551717319197,0.20825299593162172
"('Europe', 'Bulgaria', 'None')",False,1202.7309160244652,1194.3452323730426,0.27293790546802593
"('Africa', 'Burkina Faso', 'None')",False,1668.6173766289944,1677.459379766318,0.7241379310344828
"('Africa', 'Burundi', 'None')",False,1546.2226850688776,1486.4144759414226,1.703448275862069
"('Africa', 'Cabo Verde', 'None')",True,817.4384351068272,865.2221891265095,0.25
"('Asia', 'Cambodia', 'None')",False,1032.6930283857043,992.00756114041,1.4655436447166923
"('Africa', 'Cameroon', 'None')",False,4441.672868420996,4435.3819563956085,722.6
"('North America', 'Canada', 'Alberta')",False,461.37777949997,465.3392179828825,0.2828407860126876
"('North America', 'Canada', 'British Columbia')",False,2051.977476549711,2039.23921257503,0.7757727010942599
"('North America', 'Canada', 'Manitoba')",True,522.0239691702886,550.5622125285983,0.4088145896656535
"('North America', 'Canada', 'New Brunswick')",False,1268.2400786721694,1147.8405115708908,0.6344086021505376
"('North America', 'Canada', 'Newfoundland and Labrador')",True,871.7061081792278,893.7737357562122,0.5652173913043478
"('North America', 'Canada', 'Nova Scotia')",True,1075.168460863707,1119.818467962726,2.2238805970149254
"('North America', 'Canada', 'Ontario')",False,518.7912939809684,504.9441530375859,0.1717997372646329
"('North America', 'Canada', 'Quebec')",True,306.3124292299319,435.03640624413964,0.39100249930574843
"('North America', 'Canada', 'Saskatchewan')",False,448.221716993987,446.5641112300004,0.18933697881066303
